SF,Floors,Year Built,Value,E annual,G annual,Estimated Savings
2406,2.0,1970.0,156660.0,11531.0,902.0,215.0
1400,2.0,1914.0,118560.0,10379.0,1357.0,215.0
3375,2.0,2012.0,301170.0,13766.0,811.0,215.0
1408,2.0,1993.0,189750.0,12318.0,733.0,237.0
2488,2.0,1940.0,155240.0,11952.0,1024.0,591.0
1792,2.0,1929.0,335380.0,7870.0,724.0,383.0
1866,2.0,1907.0,290000.0,17711.0,1342.0,803.0
1522,1.0,1927.0,123750.0,10101.0,735.0,655.0
1761,1.0,1952.0,169840.0,15274.0,975.0,655.0
1751,1.0,1953.0,222980.0,14859.0,746.0,482.0
1236,1.0,1916.0,80100.0,14394.0,826.0,725.0
1665,1.5,1951.0,63620.0,10496.0,821.0,168.0
1752,2.0,1966.0,152400.0,8608.0,1262.0,517.0
1751,1.5,1911.0,85130.0,6499.0,731.0,459.0
2597,2.0,1931.0,143670.0,6956.0,1817.0,459.0
1905,2.0,1910.0,45010.0,14232.0,1358.0,703.0
1144,1.0,1954.0,17900.0,10695.0,650.0,383.0
2778,2.0,1985.0,323860.0,14213.0,939.0,616.0
1764,1.0,1951.0,172450.0,16385.0,1090.0,616.0
1938,2.0,1915.0,318800.0,6618.0,1458.0,498.0
1575,1.5,1954.0,82260.0,7513.0,832.0,395.0
1044,1.0,1963.0,94610.0,9804.0,572.0,409.0
2525,2.0,1989.0,293370.0,8692.0,1110.0,488.0
1473,1.0,1929.0,238140.0,14328.0,1850.0,790.0
1776,2.0,1929.0,48220.0,9433.0,1106.0,509.0
1368,2.0,1970.0,74970.0,7696.0,716.0,405.0
1222,1.0,1957.0,103280.0,13583.0,678.0,544.0
1345,1.0,1957.0,107620.0,8893.0,660.0,544.0
2432,2.0,2004.0,173250.0,10335.0,803.0,544.0
925,1.0,1961.0,81690.0,10831.0,541.0,434.0
1436,2.0,1930.0,80850.0,7183.0,1381.0,503.0
1611,1.0,1941.0,91860.0,9777.0,1337.0,567.0
1446,2.0,1924.0,170560.0,9480.0,788.0,444.0
1432,1.0,1948.0,83340.0,9103.0,799.0,436.0
1542,2.0,1900.0,83570.0,13865.0,906.0,599.0
1440,1.0,1950.0,96150.0,9478.0,991.0,486.0
1867,1.0,1957.0,223120.0,17360.0,969.0,486.0
2580,2.0,1951.0,471750.0,13174.0,1192.0,638.0
2048,1.5,1938.0,106190.0,19422.0,1519.0,891.0
1538,1.0,1954.0,62780.0,9089.0,566.0,416.0
1648,2.0,1925.0,319000.0,8895.0,906.0,451.0
1024,1.0,1957.0,59270.0,4501.0,699.0,296.0
1387,1.5,1926.0,92000.0,12916.0,1091.0,609.0
2400,2.0,1950.0,281880.0,6974.0,681.0,718.0
1452,1.0,1959.0,171870.0,14605.0,899.0,620.0
1900,1.0,1955.0,287000.0,18452.0,822.0,706.0
2355,2.0,1961.0,214320.0,8547.0,1628.0,785.0
1448,1.0,1921.0,239900.0,23758.0,751.0,860.0
1255,1.5,1910.0,55960.0,5561.0,1177.0,320.0
2630,3.0,1999.0,413240.0,16786.0,1281.0,763.0
1232,1.0,1925.0,51940.0,11727.0,670.0,487.0
1344,1.0,1941.0,110060.0,15108.0,616.0,576.0
1614,2.0,1929.0,337900.0,11638.0,1589.0,857.0
2253,2.0,1969.0,343110.0,14845.0,1825.0,856.0
1762,1.0,1956.0,149310.0,14029.0,1304.0,686.0
2388,2.0,1999.0,203050.0,10603.0,912.0,692.12
1039,1.0,1940.0,67360.0,7242.0,677.0,355.0
1848,1.0,1959.0,159510.0,17669.0,1449.0,812.0
2008,2.0,1971.0,124230.0,19224.0,1012.0,780.0
1282,1.75,1918.0,162540.0,6872.0,412.0,328.0
